day,headline,detail
1,Market overview Day 1,"1) Benchmark indices spent the day in a largely unchanged tone, with the average move across large-cap stocks around 0.09% and clear leadership emerging from the Infra space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN lagged the broader move as traders booked partial profits, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Infra stood out as the strongest performing sector with an average change of 1.44%, while Cement underperformed with a softer move of -1.65%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained balanced, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
2,Market overview Day 2,"1) Benchmark indices spent the day in a slightly positive tone, with the average move across large-cap stocks around 0.78% and clear leadership emerging from the Infra space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN lagged the broader move as traders booked partial profits, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Infra stood out as the strongest performing sector with an average change of 8.57%, while Consumer underperformed with a softer move of -0.61%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained constructive, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
3,Market overview Day 3,"1) Benchmark indices spent the day in a slightly positive tone, with the average move across large-cap stocks around 0.22% and clear leadership emerging from the Infra space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN traded broadly in line with the market, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Infra stood out as the strongest performing sector with an average change of 2.80%, while Consumer underperformed with a softer move of -0.50%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained constructive, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
4,Market overview Day 4,"1) Benchmark indices spent the day in a largely unchanged tone, with the average move across large-cap stocks around 0.10% and clear leadership emerging from the Consumer space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN lagged the broader move as traders booked partial profits, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Consumer stood out as the strongest performing sector with an average change of 1.81%, while Infra underperformed with a softer move of -0.99%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained balanced, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
5,Market overview Day 5,"1) Benchmark indices spent the day in a slightly positive tone, with the average move across large-cap stocks around 0.22% and clear leadership emerging from the Financial Services space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN lagged the broader move as traders booked partial profits, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Financial Services stood out as the strongest performing sector with an average change of 2.06%, while Banking underperformed with a softer move of -0.27%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained constructive, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
6,Market overview Day 6,"1) Benchmark indices spent the day in a slightly negative tone, with the average move across large-cap stocks around -0.30% and clear leadership emerging from the Financial Services space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Financial Services stood out as the strongest performing sector with an average change of 0.86%, while Infra underperformed with a softer move of -2.95%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained cautious, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
7,Market overview Day 7,"1) Benchmark indices spent the day in a slightly negative tone, with the average move across large-cap stocks around -0.47% and clear leadership emerging from the Cement space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Cement stood out as the strongest performing sector with an average change of 1.75%, while Infra underperformed with a softer move of -5.70%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained cautious, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
8,Market overview Day 8,"1) Benchmark indices spent the day in a slightly negative tone, with the average move across large-cap stocks around -0.60% and clear leadership emerging from the Pharma space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Pharma stood out as the strongest performing sector with an average change of 0.91%, while Infra underperformed with a softer move of -6.27%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained cautious, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
9,Market overview Day 9,"1) Benchmark indices spent the day in a largely unchanged tone, with the average move across large-cap stocks around 0.02% and clear leadership emerging from the Consumer space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Consumer stood out as the strongest performing sector with an average change of 0.43%, while Power underperformed with a softer move of -0.32%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained balanced, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
10,Market overview Day 10,"1) Benchmark indices spent the day in a decisively weak tone, with the average move across large-cap stocks around -0.94% and clear leadership emerging from the Financial Services space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Financial Services stood out as the strongest performing sector with an average change of 1.23%, while Infra underperformed with a softer move of -8.13%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained risk-off, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
11,Market overview Day 11,"1) Benchmark indices spent the day in a decisively weak tone, with the average move across large-cap stocks around -1.41% and clear leadership emerging from the Financial Services space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Financial Services stood out as the strongest performing sector with an average change of 0.79%, while Infra underperformed with a softer move of -13.38%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained risk-off, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
12,Market overview Day 12,"1) Benchmark indices spent the day in a slightly negative tone, with the average move across large-cap stocks around -0.25% and clear leadership emerging from the Infra space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN traded broadly in line with the market, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Infra stood out as the strongest performing sector with an average change of 0.62%, while Consumer underperformed with a softer move of -1.18%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained cautious, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
13,Market overview Day 13,"1) Benchmark indices spent the day in a slightly negative tone, with the average move across large-cap stocks around -0.57% and clear leadership emerging from the Financial Services space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Financial Services stood out as the strongest performing sector with an average change of 0.92%, while Infra underperformed with a softer move of -4.41%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained cautious, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
14,Market overview Day 14,"1) Benchmark indices spent the day in a firmly positive tone, with the average move across large-cap stocks around 0.95% and clear leadership emerging from the Infra space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN lagged the broader move as traders booked partial profits, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Infra stood out as the strongest performing sector with an average change of 8.93%, while Banking underperformed with a softer move of -0.51%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained risk-on, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
15,Market overview Day 15,"1) Benchmark indices spent the day in a slightly negative tone, with the average move across large-cap stocks around -0.30% and clear leadership emerging from the Financial Services space.
2) Banking names such as HDFCBANK, ICICIBANK and SBIN outperformed broader indices, as participants reacted to liquidity conditions, deposit trends and evolving rate expectations.
3) Financial Services stood out as the strongest performing sector with an average change of 0.67%, while Infra underperformed with a softer move of -2.74%, highlighting ongoing rotation within the market.
4) Domestic flows in mutual funds and systematic investment plans continued to provide a steady bid to quality large caps, even as global cues around US yields, crude prices and geopolitical headlines kept traders selectively active.
5) Overall sentiment remained cautious, with investors preferring fundamentally strong Indian companies, accumulating on intraday dips while keeping an eye on upcoming macro data, RBI communication and sector-specific policy developments."
